Pressure,Design,Speed,Frothing
10,1,100,-35
10,1,100,-25
10,1,120,-45
10,1,120,-60
10,1,140,-40
10,1,140,15
10,2,100,17
10,2,100,24
10,2,120,-65
10,2,120,-58
10,2,140,20
10,2,140,4
10,3,100,-39
10,3,100,-35
10,3,120,-55
10,3,120,-67
10,3,140,15
10,3,140,-30
15,1,100,110
15,1,100,75
15,1,120,-10
15,1,120,30
15,1,140,80
15,1,140,54
15,2,100,55
15,2,100,120
15,2,120,-55
15,2,120,-44
15,2,140,110
15,2,140,44
15,3,100,90
15,3,100,113
15,3,120,-28
15,3,120,-26
15,3,140,110
15,3,140,135
20,1,100,4
20,1,100,5
20,1,120,-40
20,1,120,-30
20,1,140,31
20,1,140,36
20,2,100,-23
20,2,100,-5
20,2,120,-64
20,2,120,-62
20,2,140,-20
20,2,140,-31
20,3,100,-30
20,3,100,-55
20,3,120,-61
20,3,120,-52
20,3,140,54
20,3,140,4
